GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gateway-service,com.oc_p9.gateway_service.controller,AuthController.AuthResponse,0,6,0,0,0,3,0,1,0,1
gateway-service,com.oc_p9.gateway_service.controller,AuthController,0,102,1,5,0,28,1,6,0,4
gateway-service,com.oc_p9.gateway_service.controller,AuthController.AuthRequest,0,3,0,0,0,1,0,1,0,1
gateway-service,com.oc_p9.gateway_service,GatewayServiceApplication,5,3,0,0,2,1,1,1,1,1
gateway-service,com.oc_p9.gateway_service.util,JwtUtil,0,56,0,0,0,16,0,4,0,4
gateway-service,com.oc_p9.gateway_service.configuration,CorsConfig,0,35,0,0,0,9,0,2,0,2
gateway-service,com.oc_p9.gateway_service.configuration,SecurityConfig,0,79,0,0,0,17,0,6,0,6
gateway-service,com.oc_p9.gateway_service.configuration,JwtAuthenticationFilter,0,91,3,9,0,24,3,5,0,2
